,1BY6WEcLGh8j5v7,1IF53ai7Xc0U56Y,3PZuoBAID5Wc2HD,7JYdWkrLSPkdwr4,McdE0feGgRqW7Ca,VHMLBKoKgIrUVDU,WRmjgnKYAwPKWDb,YxYtjZvoooNbGkE,ZnxXDlPa8U1GXgE,ZoEaEvLYb1n2sOq,adLQvlD726eNBSB,bvBOhCH3iADSZry,iCRJl6heRkivqQ3,ih0vzX44oOqAx2f,pkci93gMrogZuBj,rGa61gmuvPhdLxV,sjndEbLyjtCKgGv,uHbuxQJl8lW7ozc,wCURE6d3bPkepu2,z9Y9gH1T5YWrNuG,zBIq5rxdHJRwDNY,zVJPv84UY57bAof
2020-06-02 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02 06:00:00,79.0,92.875,93.25,78.57142857,93.57142857,80.42857143,82.75,75.85714286,91.57142857,44.42857143,112.875,72.57142857,69.625,78.85714286,43.57142857,66.125,62.85714286,55.0,92.71428571,82.14285714,82.375,68.625
2020-06-02 06:15:00,381.5,405.4285714,403.7142857,400.5,415.5,410.0,402.8571429,396.375,404.125,388.625,422.8571429,372.5,410.1428571,402.25,384.0,403.0,401.375,396.25,404.125,407.875,407.8571429,411.0
2020-06-02 06:30:00,450.8571429,503.75,505.875,486.0,484.7142857,492.7142857,501.75,477.5714286,481.5714286,474.4285714,525.875,442.0,477.8571429,475.2857143,484.1428571,497.875,475.8571429,489.4285714,475.1428571,474.5714286,486.7142857,489.0
2020-06-02 06:45:00,754.875,828.2857143,832.1428571,808.75,825.875,819.0,821.2857143,797.75,805.875,794.0,853.0,750.75,794.5,796.375,801.25,829.4285714,811.875,809.25,810.25,813.125,803.625,820.5714286
2020-06-02 07:00:00,1677.714286,1700.875,1674.0,1669.428571,1773.857143,1724.0,1653.625,1683.428571,1745.0,1632.285714,1726.375,1597.857143,1653.428571,1700.285714,1616.0,1605.571429,1711.714286,1662.714286,1749.285714,1774.285714,1645.857143,1669.857143
2020-06-02 07:15:00,1781.625,1736.714286,1727.571429,1774.625,1781.75,1842.0,1711.0,1753.0,1855.75,1724.125,1777.571429,1704.0,1709.625,1785.5,1624.75,1654.375,1721.0,1648.75,1788.125,1793.25,1709.25,1714.625
2020-06-02 07:30:00,2033.142857,2107.875,2093.857143,2090.0,2176.142857,2146.857143,2085.428571,2104.285714,2164.285714,2050.571429,2152.5,1982.428571,2080.285714,2113.571429,2026.857143,2036.428571,2111.285714,2069.714286,2159.571429,2169.285714,2065.857143,2087.0
2020-06-02 07:45:00,2220.5,2367.428571,2308.625,2325.625,2458.875,2368.0,2264.375,2361.0,2398.75,2316.25,2397.857143,2181.25,2374.75,2357.5,2364.75,2354.375,2392.375,2413.875,2423.625,2455.625,2358.875,2398.625
2020-06-02 08:00:00,4657.857143,3539.142857,3488.142857,3838.857143,5096.0,4001.857143,3464.857143,4197.714286,4713.571429,3823.0,3581.0,4082.714286,4094.142857,4614.285714,3828.857143,3617.142857,4475.857143,4169.571429,5173.571429,5902.714286,3746.285714,4240.142857
2020-06-02 08:15:00,7953.857143,8523.5,8263.25,8222.25,8322.625,8529.875,8129.5,8475.5,8755.375,8265.5,8382.0,7463.857143,8495.25,8349.125,8006.625,7910.625,8369.75,8404.5,8167.75,8178.125,8055.25,8289.375
2020-06-02 08:30:00,8666.25,5739.142857,6506.142857,6225.714286,9679.0,7469.0,7096.857143,9122.142857,9138.571429,7805.0,6331.285714,7970.625,9062.428571,9310.714286,8354.714286,7519.428571,9577.285714,9421.285714,9237.714286,9280.714286,7908.857143,9421.285714
2020-06-02 08:45:00,7080.571429,7250.375,7745.125,6663.875,7940.75,6847.25,7380.25,7159.125,7639.625,7098.75,7684.0,6475.285714,7570.625,7316.5,7111.5,7479.75,7521.125,8057.75,7331.0,7483.285714,7616.25,7914.875
2020-06-02 09:00:00,6954.5,6296.0,6642.857143,6806.285714,6307.142857,7092.857143,6616.857143,6392.428571,6779.428571,6373.428571,6647.714286,6566.5,6613.571429,6324.714286,6342.142857,6227.142857,6253.0,6454.857143,6998.125,7309.25,6316.142857,6728.142857
2020-06-02 09:15:00,9001.857143,8182.875,8036.5,8740.857143,10546.57143,9277.142857,7756.75,9100.625,9873.25,8666.875,8212.375,8645.571429,9001.375,9403.875,8123.0,8065.625,10182.71429,9243.75,9931.285714,9265.714286,8364.0,9164.375
2020-06-02 09:30:00,8531.375,10018.57143,9522.714286,9606.125,9292.25,9590.875,9393.714286,9810.428571,9799.0,10056.57143,9931.714286,8753.625,9981.571429,9423.285714,10344.14286,9838.571429,9178.875,9392.285714,9054.75,8397.75,10111.14286,9610.714286
2020-06-02 09:45:00,9432.857143,10530.5,10742.5,10284.28571,9635.285714,10509.85714,10308.5,10161.625,10072.14286,10107.375,10794.75,9331.714286,9920.875,9622.571429,9612.875,9963.5,9565.285714,9560.375,9235.714286,8812.857143,10027.375,9413.25
2020-06-02 10:00:00,8770.375,9792.285714,9760.428571,9400.0,9597.125,9569.25,9557.428571,9366.857143,9536.125,9296.0,9785.714286,8812.875,9349.571429,9103.125,9711.285714,9714.571429,9201.0,9773.0,9456.25,9341.625,9608.142857,9400.142857
2020-06-02 10:15:00,6833.857143,7117.5,7036.125,7022.714286,7341.142857,7306.571429,6791.375,7226.142857,7320.285714,6966.285714,7201.0,6628.714286,7201.625,7205.571429,6783.0,6927.375,7097.0,6763.125,7367.857143,6836.428571,7075.375,7078.375
2020-06-02 10:30:00,6283.5,7200.714286,6868.142857,6788.625,7325.625,6944.25,6529.428571,6809.875,6820.0,6892.25,7144.285714,6229.25,7018.571429,6684.125,7344.714286,7060.857143,7252.625,7532.0,7138.625,7070.125,6970.285714,7187.142857
2020-06-02 10:45:00,8634.714286,10010.25,10137.75,9592.714286,9255.142857,9794.857143,9723.125,8705.857143,8962.142857,9399.428571,10273.125,8723.857143,9016.428571,8592.285714,9376.0,9258.625,9362.142857,9408.571429,8843.714286,8238.428571,9454.0,8712.0
2020-06-02 11:00:00,8282.375,9944.142857,9907.0,9128.0,8987.875,9033.5,9611.428571,9499.75,8977.375,9343.375,10023.57143,8222.125,9662.5,8902.125,9793.75,9703.857143,8952.5,9293.5,8894.625,8654.75,9648.875,9496.571429
2020-06-02 11:15:00,6470.714286,6993.25,6978.375,6881.428571,7072.142857,7021.857143,6857.25,6944.571429,7024.285714,6905.857143,7085.5,6356.142857,7048.714286,6838.0,7045.285714,7096.0,6963.428571,7115.0,6942.285714,6825.857143,7079.428571,7041.0
2020-06-02 11:30:00,5978.5,6558.428571,6559.285714,6328.75,6502.375,6466.25,6437.714286,6345.75,6430.0,6302.625,6647.285714,5895.0,6397.0,6261.375,6394.75,6382.25,6402.625,6455.125,6421.375,6365.5,6413.125,6371.25
2020-06-02 11:45:00,5712.857143,6268.875,6202.714286,6058.857143,6317.714286,6186.857143,6068.714286,6146.714286,6204.714286,6092.142857,6342.25,5631.857143,6243.857143,6060.285714,6258.714286,6247.285714,6209.142857,6346.714286,6220.428571,6206.0,6241.428571,6272.857143
2020-06-02 12:00:00,7675.375,8449.857143,8165.125,8137.375,8499.125,8288.0,7961.0,8213.5,8264.375,8170.125,8525.714286,7570.375,8320.375,8071.625,8405.875,8304.125,8337.25,8459.125,8381.5,8356.375,8329.625,8293.625
2020-06-02 12:15:00,9092.0,9771.857143,9764.857143,9288.0,9863.285714,9846.285714,9470.0,9686.285714,9834.714286,9367.571429,9907.857143,8816.0,9696.571429,9450.428571,9502.857143,9464.285714,9699.285714,9895.285714,9836.0,9777.142857,9530.857143,9665.857143
2020-06-02 12:30:00,8679.714286,8421.125,8419.5,8617.375,9611.375,8829.625,8320.125,8904.125,9591.25,8711.5,8756.125,8255.714286,8906.375,8942.5,9109.0,8862.0,9412.75,9481.25,9766.375,10178.25,8787.375,9040.375
2020-06-02 12:45:00,10311.375,11642.57143,11755.57143,10673.28571,10879.42857,11171.28571,11324.71429,10882.71429,11074.14286,10423.0,11752.28571,9902.0,10795.42857,10864.14286,10887.71429,10631.28571,11006.14286,11014.57143,11064.14286,10604.0,10720.71429,10753.85714
2020-06-02 13:00:00,11948.0,12699.25,13201.0,12426.375,12320.0,12673.625,13001.75,12699.125,12785.25,12528.125,13077.0,11663.57143,12460.5,12409.75,12075.875,12074.375,12132.375,11981.875,12196.14286,11925.85714,12315.625,12355.5
2020-06-02 13:15:00,11296.0,12466.42857,12473.14286,12304.85714,11532.85714,12278.85714,11675.0,12090.42857,12188.71429,12465.42857,12485.85714,11322.0,12422.42857,11697.42857,12315.14286,12797.71429,11169.14286,11519.71429,11672.5,11597.0,12719.85714,12030.57143
